sit,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29
0,أحداً,,tko,kdokoliv,alle,jemand,κάποιος,anybody,propuesto,keegi,joku,quelqu'un,אלמלא מישהו,tko,valaki,orang,qualcun,誰,iemand,,kto,alguém,mi-ar,,omenil kdo,ko,någon,başkası,người,他人
1,,някой,itko,někdo,nogen,jemand,κάποιος,anybody,alguien,keegi,,quelqu'un,מישהו,itko,valaki,ada,qualcun,書類,iemand,noen,ktoś,alguém,,кто-нибудь,kdo,itko,någon,bir,ai,有人
2,أحد,,netko,někdo,,bord,,anybody,bajar,keegi,joku,débarquer,מישהו,iskrcati,valaki,ada,qualcun,,aanstaat,noen,ktoś,alguém,coboare,кто-то,kdo,,någon,isteyen,ai,有人
3,,чуждият,netko,,nogle,jemand,κανένας,someone,alguien,keegi,joku,on,מישהו,netko,valaki,ada orang,qualcun,迫,,noen,ktoś,alguém,cineva,пойдёт,kdo,netko,någon,bir,có ai,有人
4,شخص,някой,netko,někdo,en,,κάποιος,someone,alguien,keegi,joku,,מישהו,netko,valaki,orang,qualcun,人,iemand,noen,,alguém,cineva,кто-то,nekaj,netko,någon,bir,người,人
5,شخص,някой,netko,někdo,nogen,jemand,κάποιος,someone,alguien,keegi,,quelqu'un,מישהו,netko,valaki,seseorang,qualcun,,iemand,noen,ktoś,alguém,cineva,кто-то,nekaj,netko,någon,bir,có ai,有人
6,أحد,някой,netko,,nogen,jemand,κανένας,anyone,alguien,keegi,kukaan,quelqu'un,,netko,valaki,ada,qualcun,,iemand,noen,,alguém,cineva,кто,kdo,itko,någon,,ai,有人
7,شخص,някой,netko,někdo,,irgendjemand,κάποιος,anyone,alguien,keegi,jollain,quelqu'un,למישהו,itko,bárki,ada,qualcun,人,iemand,noen,ktoś,alguém,cineva,кто-нибудь,kdokoli,netko,någon,olan varsa,ai,何
8,أى,всеки,tko,kdokoliv,nogen,irgendjemand,οποιονδήποτε,anyone,nadie,kes tahes,kukaan,tout,,itko,,siapapun,chiunque,,,noen,,ninguém,oricine,кто-либо,vse,itko,någon,herkesten,bất kỳ người,何 人
9,شخص,всеки,itko,,nogen,irgend,οποιοσδήποτε,anyone,nadie,keegi,kukaan,quiconque,אחד,itko,bárki,orang,nessuno,,iemand,noen,ktokolwiek,qualquer,altcineva,,kdokoli,itko,någon,kimse,bất kỳ ai,何 人
10,أحد,никой,nitko,nikdo,alle,,κανένας,anybody,,keegi,kukaan,d'oublier personne,אף אחד,nitko,senki,siapa,nessuno,誰,niemand,etterlatt,pozostawić nikt,ninguém,nimeni,велели никто,nič,nitko,alla,,ai,下任 何
11,,отишъл,netko,nešel,,keine,κανένας,anybody,nadie,keegi,kukaan,qu'avec,אף אחד,z,harcolnék,orang,,,iemand,noen,nikt,ninguém,nimeni,,nič,ko,någon,kimse,ai,想和别
12,أحد,никой,nitko,nikdo,nogen,niemand,κανένας,anybody,nadie,keegi,kukaan,personne,אחד,nitko,ártok,siapapun,mosca,誰,,ingen,nikt,ninguém,nimeni,никто,nič,nitko,,kimse,ai,任 何
13,أحداً,никой,nitko,nikdo,nogen,niemand,κανένας,anybody,nadie,keegi,kukaan,personne,אף אחד,nitko,senki,siapapun,nessuno,誰,niemand,noen,nikt,ninguém,nimeni,кто,nič,nitko,någon,kimse,ai cả,何
14,أحد,някой,netko,,nogen,niemand,κάποιος,anyone,nadie,keegi,kukaan,seul,מישהו,netko,senki,seseorang,nessuno,,iemand,noen,nikt,ninguém,nimeni,никто,nič,netko,någon,bir,ai,和任 何 人
15,أحد,никой,nitko,nikdo,nogen,nichts,κανένας,anyone,nadie,keegi,kukaan,personne,אף אחד,nitko,senki,siapapun,nessuno,誰 も,niemand,ingen,nikt,ninguém,nimeni,никто,nič,nitko,ingen,kimse,ai,и⊿ヴ 
